                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.165,                  3.452,                 1.5634,                0.00794,                0.91275,                0.21481,                0.13335,                 1.0778,                 3.2153,                 1.6681,             0.00019992,             0.00019992,             0.00019992
                      2,                 1.0928,                 2.8383,                 1.5306,                0.89132,                0.06384,                0.40613,                0.25326,                 1.2298,                 2.7367,                 1.8045,             0.00040413,             0.00040413,             0.00040413
                      3,                 1.1463,                 2.3356,                 1.5532,                0.61604,                0.46646,                0.46384,                0.22863,                 1.6156,                 2.2696,                 2.0842,             0.00060421,             0.00060421,             0.00060421
                      4,                 1.1743,                  2.113,                 1.5541,                0.55573,                0.42717,                0.44583,                0.22795,                 1.6848,                 2.8249,                 2.1751,             0.00080018,             0.00080018,             0.00080018
                      5,                 1.1838,                 1.9944,                 1.5643,                0.63924,                0.48361,                0.54799,                0.33027,                 1.3645,                 2.0629,                 1.8862,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.1367,                 1.8997,                 1.5264,                0.70754,                0.61728,                 0.6688,                0.39574,                 1.3383,                 1.7731,                 1.9608,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.1146,                 1.8373,                 1.4907,                0.69216,                0.64312,                0.68567,                0.42454,                 1.3028,                  1.657,                 1.9137,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.1503,                 1.8255,                  1.522,                0.68328,                0.60971,                0.67999,                0.39269,                 1.3099,                 1.8442,                 1.8186,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.0939,                 1.6908,                 1.4642,                  0.749,                0.63666,                 0.7484,                0.44483,                 1.2926,                 1.5351,                 1.8727,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.0841,                 1.6612,                 1.4734,                 0.6795,                0.64098,                0.63767,                0.38926,                 1.3101,                 1.7955,                 1.7843,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.0818,                 1.6527,                 1.4766,                0.62253,                0.64812,                0.66644,                0.38937,                 1.3304,                 1.6439,                 1.8915,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.0888,                 1.6149,                 1.4545,                0.76403,                0.70608,                0.78172,                0.51164,                 1.1608,                 1.3452,                 1.6708,             0.00074229,             0.00074229,             0.00074229
                     13,                0.99779,                 1.4816,                 1.4047,                0.69704,                0.67312,                0.68059,                0.43222,                 1.2051,                 1.5082,                  1.742,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.1058,                 1.5195,                 1.4631,                0.74072,                0.78525,                0.82741,                0.50857,                 1.2093,                 1.3704,                 1.6823,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.0166,                 1.4668,                 1.4073,                0.86199,                0.76475,                0.84546,                0.57519,                 1.1194,                 1.2001,                 1.6076,             0.00071755,             0.00071755,             0.00071755
                     16,                0.99594,                 1.3462,                 1.4052,                0.83585,                0.70802,                0.79482,                0.54392,                 1.1194,                 1.2864,                 1.6237,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.0017,                 1.3765,                 1.3911,                0.81846,                0.81165,                0.86952,                0.59717,                  1.072,                 1.0876,                 1.5419,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.0337,                   1.36,                 1.4194,                0.82004,                 0.7645,                0.85639,                0.59337,                 1.0749,                 1.1299,                 1.5575,             0.00069281,             0.00069281,             0.00069281
