                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2173,                 3.4963,                 1.6029,                0.00989,                0.94031,                0.18146,                0.10208,                 1.4014,                 3.2327,                 1.8631,              0.0001666,              0.0001666,              0.0001666
                      2,                 1.1173,                 2.9787,                 1.5166,                0.00635,                0.94924,                0.31957,                0.18976,                 1.1598,                 2.9868,                 1.8115,             0.00033815,             0.00033815,             0.00033815
                      3,                 1.1613,                 2.4011,                 1.5264,                0.56404,                0.33701,                0.38864,                0.19882,                 1.7127,                 2.3885,                 2.3219,             0.00050623,             0.00050623,             0.00050623
                      4,                 1.1896,                 2.2049,                 1.5551,                0.39978,                0.42892,                0.41302,                  0.215,                 1.4761,                 2.2334,                 2.0079,             0.00067086,             0.00067086,             0.00067086
                      5,                 1.1726,                 2.0667,                 1.5352,                0.47703,                0.41831,                0.38504,                0.20642,                 1.4958,                 2.3493,                 2.1314,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.1693,                 2.0085,                 1.5372,                0.34939,                0.53823,                0.36078,                0.19787,                 1.5318,                 3.3725,                 2.1288,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.1726,                 1.9838,                 1.5352,                0.56518,                0.38851,                0.48376,                 0.2919,                 1.3785,                 2.8448,                 2.0687,             0.00078352,             0.00078352,             0.00078352
                      8,                  1.117,                 1.8734,                 1.4916,                0.38422,                0.52141,                0.42993,                0.25449,                 1.4861,                 2.4114,                 2.1646,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.0833,                 1.7408,                 1.4623,                0.39554,                0.43982,                0.35736,                0.20886,                 1.6018,                 2.5218,                 2.3166,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.0519,                 1.6602,                 1.4484,                0.61146,                  0.395,                0.47893,                0.24346,                 1.8222,                 2.4693,                 2.3676,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.0872,                 1.6261,                 1.4651,                0.58502,                0.57197,                0.55381,                0.32373,                 1.4625,                 1.9718,                  2.041,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.0739,                 1.6119,                 1.4395,                0.63967,                0.44973,                0.53837,                0.27919,                 1.7066,                 2.0736,                 2.3189,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.0786,                 1.6203,                 1.4531,                0.66906,                0.59846,                0.65201,                0.37616,                 1.4784,                 1.7937,                 2.0838,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.0114,                 1.4977,                 1.3904,                0.62676,                0.58695,                0.61909,                0.34335,                 1.4292,                 1.7742,                 2.0048,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.0202,                 1.5005,                 1.4235,                0.54662,                0.55121,                0.58223,                0.34767,                 1.4583,                 1.8619,                 2.0203,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.0576,                 1.4878,                 1.4223,                0.55399,                0.53712,                 0.5414,                0.31695,                 1.4997,                 2.1912,                 2.0894,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.0145,                 1.4001,                 1.4023,                0.65394,                0.55455,                0.61516,                0.33192,                 1.5764,                 1.8079,                 2.1008,             0.00070105,             0.00070105,             0.00070105
                     18,                0.95896,                 1.4136,                 1.3866,                0.73415,                0.57519,                0.66562,                0.37468,                 1.3725,                 1.7947,                 1.9076,             0.00069281,             0.00069281,             0.00069281
                     19,                0.99745,                 1.3619,                 1.3911,                0.67475,                0.56426,                0.63079,                0.35436,                 1.4627,                 1.6759,                 2.0118,             0.00068456,             0.00068456,             0.00068456
                     20,                0.98085,                 1.2988,                 1.3536,                0.74738,                0.58535,                 0.6561,                 0.3622,                  1.476,                 1.5944,                 2.0179,             0.00067631,             0.00067631,             0.00067631
                     21,                0.95027,                 1.2849,                 1.3598,                 0.7078,                0.59536,                0.67143,                0.39878,                 1.4286,                 1.5447,                  2.025,             0.00066807,             0.00066807,             0.00066807
                     22,                0.92072,                 1.2294,                  1.332,                0.64899,                0.59658,                0.62985,                0.39055,                 1.3772,                 1.4939,                 1.9594,             0.00065982,             0.00065982,             0.00065982
                     23,                0.91435,                 1.2313,                 1.3153,                0.80373,                0.62581,                0.71028,                0.41339,                 1.4453,                 1.4403,                 2.0114,             0.00065157,             0.00065157,             0.00065157
                     24,                0.94219,                 1.1748,                 1.3442,                0.79161,                0.68627,                0.76134,                0.43343,                 1.3506,                 1.5071,                 1.9259,             0.00064333,             0.00064333,             0.00064333
                     25,                0.93982,                 1.1358,                 1.3115,                0.71404,                0.64283,                0.66929,                0.41788,                 1.3486,                   1.44,                 1.9525,             0.00063508,             0.00063508,             0.00063508
                     26,                0.92709,                 1.1452,                 1.3277,                0.69636,                 0.6469,                0.67682,                0.43421,                 1.3599,                 1.4176,                 1.9237,             0.00062683,             0.00062683,             0.00062683
                     27,                0.88492,                 1.1141,                 1.2853,                0.78302,                0.60196,                0.68386,                0.42456,                 1.3514,                 1.4224,                 1.9488,             0.00061859,             0.00061859,             0.00061859
