                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2111,                 3.4659,                 1.6017,                0.01036,                0.90556,                0.18255,                0.11674,                 1.2673,                 3.4596,                 1.7806,             0.00019992,             0.00019992,             0.00019992
                      2,                 1.1086,                 2.8596,                 1.5253,                0.80349,                0.11396,                0.35358,                0.23048,                 1.1903,                 2.8836,                 1.7392,             0.00040548,             0.00040548,             0.00040548
                      3,                 1.1281,                 2.3641,                 1.5373,                0.45413,                0.41838,                0.43069,                0.20961,                 1.6141,                 2.5967,                 2.1891,             0.00060828,             0.00060828,             0.00060828
                      4,                 1.1993,                 2.1923,                 1.5841,                0.40845,                0.44383,                0.40168,                0.20232,                 1.5755,                 2.6704,                 2.0791,             0.00080834,             0.00080834,             0.00080834
                      5,                 1.1406,                 1.9223,                 1.5497,                0.51144,                0.61836,                0.57266,                0.28935,                 1.5292,                 2.7072,                 2.0515,             0.00081101,             0.00081101,             0.00081101
                      6,                 1.1458,                 1.9559,                 1.5445,                0.61273,                0.48643,                0.54608,                0.32415,                 1.2302,                 2.7323,                 1.8571,             0.00080551,             0.00080551,             0.00080551
                      7,                 1.1801,                 1.8822,                  1.545,                0.67224,                0.51953,                 0.5487,                0.33391,                 1.2821,                 2.3244,                 1.8708,             0.00080001,             0.00080001,             0.00080001
                      8,                 1.1233,                 1.8124,                 1.5011,                0.67817,                0.50567,                0.58587,                0.33568,                 1.4577,                 2.2243,                 2.0499,             0.00079452,             0.00079452,             0.00079452
                      9,                 1.1334,                 1.7044,                 1.5118,                0.63785,                0.66451,                0.68038,                 0.3523,                 1.6328,                 1.8817,                 2.2517,             0.00078902,             0.00078902,             0.00078902
                     10,                 1.0762,                 1.6425,                 1.4572,                0.67819,                0.61056,                0.68405,                0.41438,                 1.2975,                 1.7477,                 1.7767,             0.00078352,             0.00078352,             0.00078352
                     11,                 1.0726,                 1.6231,                 1.4823,                0.81161,                0.67537,                0.77094,                0.50033,                 1.1868,                  1.574,                 1.6855,             0.00077802,             0.00077802,             0.00077802
                     12,                 1.0797,                 1.5995,                 1.4833,                0.74792,                0.61394,                0.73307,                0.46764,                 1.2054,                 1.7401,                 1.7247,             0.00077252,             0.00077252,             0.00077252
                     13,                 1.0219,                 1.4881,                 1.4205,                 0.7749,                 0.6365,                0.73809,                0.45755,                 1.2908,                  1.553,                 1.9086,             0.00076703,             0.00076703,             0.00076703
                     14,                 1.0058,                 1.4661,                 1.3959,                0.73076,                0.62371,                0.73071,                0.46864,                 1.1745,                 1.6419,                 1.6918,             0.00076153,             0.00076153,             0.00076153
                     15,                 1.0358,                 1.3895,                 1.4318,                0.70795,                0.52334,                0.60051,                0.36123,                 1.3063,                 1.9756,                 1.7902,             0.00075603,             0.00075603,             0.00075603
                     16,                 1.0198,                 1.4321,                 1.4364,                0.80088,                0.73979,                0.82459,                0.54162,                 1.1461,                 1.4358,                 1.6684,             0.00075053,             0.00075053,             0.00075053
                     17,                  1.005,                 1.3415,                 1.3972,                0.80257,                0.74008,                0.82899,                0.55422,                 1.0785,                 1.4119,                 1.5903,             0.00074504,             0.00074504,             0.00074504
                     18,                 1.0052,                 1.3484,                 1.3759,                0.82847,                0.78983,                0.84632,                0.57574,                 1.0452,                 1.2649,                 1.5448,             0.00073954,             0.00073954,             0.00073954
                     19,                 1.0196,                 1.3452,                 1.4103,                0.83913,                0.77636,                0.86347,                0.58633,                  1.062,                 1.3171,                 1.5544,             0.00073404,             0.00073404,             0.00073404
                     20,                  1.008,                 1.2994,                 1.4065,                 0.8708,                0.81945,                0.88693,                 0.6162,                 1.0149,                 1.1237,                  1.499,             0.00072854,             0.00072854,             0.00072854
                     21,                0.99417,                 1.2611,                 1.3784,                0.79053,                0.83313,                0.87783,                0.59256,                 1.0446,                 1.2329,                 1.5075,             0.00072304,             0.00072304,             0.00072304
                     22,                0.95159,                 1.2246,                 1.3521,                0.86877,                0.81208,                0.90583,                0.62355,                 1.0683,                 1.1016,                 1.5122,             0.00071755,             0.00071755,             0.00071755
                     23,                0.96296,                 1.2209,                 1.3602,                0.87779,                0.80454,                0.88366,                0.63267,                0.97452,                 1.1016,                 1.4521,             0.00071205,             0.00071205,             0.00071205
                     24,                 1.0053,                 1.2473,                 1.3884,                0.84339,                 0.7808,                0.88229,                0.58881,                 1.0724,                 1.1921,                 1.5257,             0.00070655,             0.00070655,             0.00070655
                     25,                0.95986,                 1.2105,                  1.358,                0.88727,                0.85548,                0.92861,                0.65996,                0.97246,                 1.0113,                 1.4398,             0.00070105,             0.00070105,             0.00070105
                     26,                0.92083,                  1.121,                 1.3106,                0.86131,                0.85736,                0.92107,                0.66484,                0.96457,                 1.0454,                 1.4256,             0.00069556,             0.00069556,             0.00069556
                     27,                0.92366,                 1.1201,                  1.321,                0.90436,                0.86992,                0.93759,                0.67168,                0.98509,                0.96093,                  1.446,             0.00069006,             0.00069006,             0.00069006
                     28,                0.93262,                 1.1305,                 1.3275,                0.90828,                0.85118,                0.93127,                0.66707,                0.96149,                0.96832,                 1.4327,             0.00068456,             0.00068456,             0.00068456
                     29,                0.91279,                 1.1241,                 1.3251,                0.89281,                0.84931,                0.92642,                0.67011,                0.93609,                0.94495,                 1.4315,             0.00067906,             0.00067906,             0.00067906
                     30,                0.91925,                 1.1127,                 1.3476,                0.87335,                0.86376,                0.92139,                0.66545,                0.95567,                0.99398,                 1.4076,             0.00067356,             0.00067356,             0.00067356
                     31,                0.89661,                 1.0442,                 1.3051,                0.89893,                0.85702,                 0.9362,                0.69186,                0.90395,                0.95159,                  1.366,             0.00066807,             0.00066807,             0.00066807
                     32,                0.88079,                 1.0097,                 1.2953,                0.89801,                0.87214,                0.94109,                0.70458,                  0.908,                0.88884,                 1.3627,             0.00066257,             0.00066257,             0.00066257
                     33,                0.88257,                  1.025,                 1.3017,                0.88437,                0.86958,                0.93075,                 0.6812,                0.93732,                 0.8841,                 1.4266,             0.00065707,             0.00065707,             0.00065707
                     34,                0.90981,                0.99705,                 1.3229,                0.89544,                0.84218,                0.92044,                0.67258,                0.93332,                0.92397,                 1.3951,             0.00065157,             0.00065157,             0.00065157
                     35,                0.90845,                0.98573,                 1.3083,                0.93236,                0.85713,                0.94618,                0.67881,                0.97361,                0.85833,                 1.4094,             0.00064607,             0.00064607,             0.00064607
                     36,                0.86773,                0.96352,                 1.2769,                0.92249,                0.88894,                0.95598,                0.72341,                0.87095,                0.79736,                 1.3317,             0.00064058,             0.00064058,             0.00064058
                     37,                 0.8656,                0.99453,                 1.2909,                0.89711,                0.86354,                0.94647,                0.71688,                    0.9,                0.81324,                 1.3614,             0.00063508,             0.00063508,             0.00063508
                     38,                 0.8732,                0.98134,                 1.3016,                0.92004,                 0.8745,                0.95446,                0.72673,                0.86331,                0.77086,                   1.33,             0.00062958,             0.00062958,             0.00062958
