                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1722,                 3.4606,                 1.5707,                0.00856,                0.92262,                0.20754,                0.12841,                 1.0775,                 3.4667,                 1.6495,             0.00019992,             0.00019992,             0.00019992
                      2,                 1.0833,                 2.8429,                 1.5086,                0.69401,                0.10452,                0.35107,                0.19823,                 1.3369,                 2.8215,                 1.8475,             0.00040615,             0.00040615,             0.00040615
                      3,                  1.167,                 2.3031,                 1.5569,                0.49059,                0.41909,                0.41793,                0.23835,                 1.5451,                 2.6003,                 2.2513,             0.00061032,             0.00061032,             0.00061032
                      4,                 1.1651,                 2.1082,                  1.558,                0.70297,                 0.4628,                0.52764,                0.30545,                 1.4336,                 2.5877,                 1.9932,             0.00081242,             0.00081242,             0.00081242
                      5,                 1.1945,                 2.0561,                 1.5644,                0.54791,                0.49505,                0.50674,                0.27388,                 1.5019,                 2.3961,                 1.9948,             0.00081651,             0.00081651,             0.00081651
                      6,                 1.1515,                 1.9248,                  1.525,                0.60888,                0.53144,                0.57139,                0.33733,                 1.2893,                 2.3098,                 1.8496,             0.00081238,             0.00081238,             0.00081238
                      7,                 1.1393,                 1.8589,                 1.5033,                0.66492,                0.61315,                0.64268,                 0.3974,                  1.337,                 2.1509,                 2.0084,             0.00080826,             0.00080826,             0.00080826
                      8,                 1.1402,                 1.8349,                 1.5136,                0.62304,                0.49693,                0.54887,                0.28077,                 1.6192,                  2.513,                 2.0379,             0.00080414,             0.00080414,             0.00080414
                      9,                 1.0964,                 1.7243,                 1.4658,                0.57776,                0.56871,                0.58902,                0.33646,                 1.3787,                  2.031,                 1.8606,             0.00080001,             0.00080001,             0.00080001
                     10,                 1.0817,                 1.7014,                 1.4721,                0.77297,                0.64225,                0.74969,                0.46782,                 1.2281,                 1.6468,                 1.7291,             0.00079589,             0.00079589,             0.00079589
                     11,                 1.0745,                 1.6285,                 1.4637,                0.78581,                0.67125,                0.76744,                0.49073,                 1.2397,                 1.6027,                 1.8095,             0.00079177,             0.00079177,             0.00079177
                     12,                 1.1153,                 1.5728,                 1.4709,                0.80552,                0.62839,                0.74174,                0.46351,                 1.2482,                 1.6238,                 1.7686,             0.00078764,             0.00078764,             0.00078764
                     13,                 1.0439,                  1.526,                 1.4468,                0.71224,                0.69755,                0.74719,                0.43327,                  1.385,                 1.6736,                 1.8782,             0.00078352,             0.00078352,             0.00078352
                     14,                 1.0929,                 1.5025,                 1.4632,                0.63812,                0.65096,                0.69069,                0.40935,                 1.3548,                 1.7106,                 1.7996,              0.0007794,              0.0007794,              0.0007794
                     15,                 1.0365,                 1.4993,                  1.416,                0.75808,                0.66924,                0.79771,                0.47244,                 1.2845,                 1.5553,                 1.7383,             0.00077527,             0.00077527,             0.00077527
                     16,                0.99895,                 1.3853,                 1.4095,                0.77149,                0.60718,                0.71813,                0.47836,                   1.23,                 1.6228,                 1.7239,             0.00077115,             0.00077115,             0.00077115
                     17,                 1.0314,                 1.4247,                 1.4176,                0.78581,                0.70375,                0.80757,                0.53943,                 1.1683,                 1.4125,                  1.733,             0.00076703,             0.00076703,             0.00076703
                     18,                 1.0462,                 1.4006,                 1.4354,                0.85323,                0.76058,                0.83182,                0.57499,                 1.0874,                 1.2751,                 1.5859,              0.0007629,              0.0007629,              0.0007629
