                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1649,                 3.4945,                 1.5594,                0.01144,                0.90925,                0.21796,                 0.1262,                 1.1743,                 3.2316,                 1.6658,              0.0001666,              0.0001666,              0.0001666
                      2,                  1.061,                 3.0592,                 1.5004,                0.01004,                0.90511,                 0.2675,                0.14341,                 1.3148,                 3.0382,                 1.8019,             0.00033815,             0.00033815,             0.00033815
                      3,                 1.1497,                 2.5362,                 1.5358,                0.58098,                0.32112,                0.36838,                0.19936,                 1.6557,                 2.5968,                 2.2666,             0.00050623,             0.00050623,             0.00050623
                      4,                 1.1424,                 2.2325,                 1.5464,                0.43543,                 0.4553,                0.41511,                0.24716,                 1.5735,                 2.7987,                 2.1456,             0.00067086,             0.00067086,             0.00067086
                      5,                  1.144,                 2.0378,                 1.5352,                0.28453,                0.57639,                 0.4114,                0.19398,                 1.6975,                 3.2976,                 2.2014,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.1557,                 2.0299,                 1.5357,                0.40649,                0.37006,                0.36112,                0.16277,                 2.1397,                  2.342,                 2.5648,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.1654,                 1.9846,                 1.5261,                0.53388,                0.44127,                0.47168,                0.20877,                 1.8627,                 2.2843,                 2.2971,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.0911,                 1.8794,                 1.5007,                0.46817,                0.58424,                0.52801,                0.27291,                 1.5743,                 2.0301,                 2.0282,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.1279,                 1.7742,                    1.5,                0.65094,                0.43184,                0.50082,                0.25056,                 1.6416,                 2.3159,                 2.1478,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.1125,                 1.7276,                 1.4915,                0.59804,                0.50154,                0.49167,                0.28153,                 1.5601,                 2.2677,                 2.1291,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.0935,                 1.6396,                 1.4747,                0.59864,                0.55501,                0.57036,                0.27472,                 1.7021,                 1.9813,                 2.2284,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.0655,                 1.5926,                 1.4494,                 0.5135,                0.55875,                0.53781,                0.27472,                  1.665,                 1.8916,                   2.25,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.0402,                 1.5679,                 1.4221,                0.70211,                0.49601,                 0.5653,                0.32482,                  1.636,                 1.8359,                 2.0175,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.0627,                 1.5177,                  1.426,                0.77005,                0.55371,                0.63969,                0.37215,                 1.4765,                  1.688,                 1.8881,             0.00072579,             0.00072579,             0.00072579
                     15,                0.98911,                 1.4363,                 1.3936,                0.67837,                0.61573,                0.63167,                0.36968,                 1.4714,                 1.6796,                  1.982,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.0086,                 1.3995,                 1.3972,                0.78463,                0.49286,                0.59546,                0.34964,                 1.5065,                  1.658,                 1.9594,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.0723,                 1.4556,                 1.4089,                  0.807,                0.57766,                0.68628,                0.41986,                 1.3869,                 1.4594,                  1.834,             0.00070105,             0.00070105,             0.00070105
                     18,                0.97041,                 1.3706,                 1.3859,                0.69116,                0.68097,                0.69686,                0.40669,                  1.359,                 1.4842,                 1.8728,             0.00069281,             0.00069281,             0.00069281
                     19,                0.92598,                 1.2898,                 1.3543,                0.69112,                  0.622,                0.65947,                0.40963,                 1.3605,                 1.5853,                 1.8918,             0.00068456,             0.00068456,             0.00068456
                     20,                0.97553,                 1.3127,                  1.368,                0.72987,                0.55202,                0.63648,                0.38843,                  1.434,                 1.6513,                 1.9295,             0.00067631,             0.00067631,             0.00067631
                     21,                0.96974,                 1.3212,                 1.3726,                0.71814,                0.53949,                0.58774,                 0.3431,                 1.4955,                 1.6834,                 2.0167,             0.00066807,             0.00066807,             0.00066807
                     22,                0.96549,                 1.2524,                 1.3669,                0.77036,                0.60445,                0.67954,                0.41186,                 1.4552,                  1.527,                 1.9322,             0.00065982,             0.00065982,             0.00065982
                     23,                0.96545,                 1.2458,                 1.3531,                 0.7395,                0.57862,                 0.6567,                0.38618,                 1.4627,                 1.5751,                 1.9412,             0.00065157,             0.00065157,             0.00065157
                     24,                 0.9918,                 1.2297,                 1.3615,                0.79951,                0.55702,                0.65114,                0.37803,                 1.4413,                 1.6937,                 2.0001,             0.00064333,             0.00064333,             0.00064333
                     25,                0.93597,                 1.1564,                 1.3308,                0.71737,                0.60316,                0.70075,                0.44062,                 1.3196,                 1.4718,                 1.8215,             0.00063508,             0.00063508,             0.00063508
                     26,                 0.9042,                  1.112,                  1.295,                0.64985,                0.54384,                0.63816,                 0.3848,                 1.4563,                 1.5918,                 1.9226,             0.00062683,             0.00062683,             0.00062683
                     27,                0.92224,                 1.1835,                 1.3291,                0.84343,                0.62011,                0.76707,                 0.4582,                 1.3835,                 1.3834,                 1.8142,             0.00061859,             0.00061859,             0.00061859
                     28,                0.87914,                 1.0963,                 1.2693,                0.73086,                 0.7213,                0.75576,                0.44401,                 1.3604,                 1.4028,                 1.8946,             0.00061034,             0.00061034,             0.00061034
                     29,                 0.8806,                  1.109,                 1.3052,                0.80493,                0.61281,                0.73728,                0.42128,                 1.3989,                 1.3588,                 1.9255,             0.00060209,             0.00060209,             0.00060209
                     30,                  0.916,                 1.0961,                 1.2997,                0.83319,                0.62097,                0.72284,                0.40871,                 1.4028,                 1.4759,                 1.8622,             0.00059385,             0.00059385,             0.00059385
                     31,                0.90122,                 1.1321,                 1.3063,                0.89055,                0.62779,                0.78494,                0.46201,                 1.3737,                 1.3335,                 1.8465,              0.0005856,              0.0005856,              0.0005856
                     32,                0.82934,                0.97586,                 1.2433,                0.86762,                 0.6169,                0.71699,                0.43481,                 1.4283,                 1.3924,                 1.9638,             0.00057735,             0.00057735,             0.00057735
                     33,                0.85091,                0.99548,                 1.2506,                0.82278,                0.72622,                0.79873,                0.48566,                 1.3404,                 1.2408,                 1.7683,             0.00056911,             0.00056911,             0.00056911
                     34,                0.83459,                 1.0543,                 1.2609,                0.78381,                0.68594,                0.77135,                0.45418,                 1.4151,                 1.3017,                 1.8591,             0.00056086,             0.00056086,             0.00056086
                     35,                0.85958,                 1.0149,                 1.2762,                0.90285,                0.66868,                0.80171,                0.47931,                 1.3705,                 1.2762,                 1.8454,             0.00055261,             0.00055261,             0.00055261
                     36,                0.82495,                0.96014,                 1.2636,                0.87729,                0.72431,                 0.7807,                0.48271,                 1.3505,                 1.2849,                 1.9083,             0.00054437,             0.00054437,             0.00054437
                     37,                0.83012,                0.93427,                 1.2495,                 0.9077,                0.69436,                0.79677,                0.48556,                 1.3278,                 1.1844,                 1.8263,             0.00053612,             0.00053612,             0.00053612
                     38,                0.83752,                0.97638,                 1.2501,                0.86757,                0.70117,                 0.7901,                0.47993,                 1.3369,                 1.1552,                 1.8291,             0.00052787,             0.00052787,             0.00052787
                     39,                0.82106,                0.94925,                 1.2354,                0.89276,                0.62915,                0.77061,                0.49034,                 1.3133,                 1.2253,                   1.81,             0.00051963,             0.00051963,             0.00051963
                     40,                0.79032,                0.93794,                 1.2512,                0.93914,                0.68308,                0.81366,                0.52128,                 1.2852,                 1.1218,                 1.7422,             0.00051138,             0.00051138,             0.00051138
                     41,                0.80124,                0.91147,                 1.2387,                0.89041,                0.71573,                0.83201,                 0.5404,                 1.2927,                 1.1364,                 1.7444,             0.00050313,             0.00050313,             0.00050313
                     42,                0.78602,                0.89614,                 1.2225,                0.82613,                0.69529,                0.77626,                0.49321,                 1.3425,                 1.2615,                 1.8273,             0.00049489,             0.00049489,             0.00049489
                     43,                0.76943,                0.83861,                 1.2167,                0.77877,                0.70399,                0.74895,                0.46997,                 1.3533,                 1.2821,                 1.8346,             0.00048664,             0.00048664,             0.00048664
                     44,                0.78714,                0.86966,                 1.2299,                0.87703,                0.67646,                0.76156,                0.48558,                 1.3846,                 1.1353,                 1.8753,             0.00047839,             0.00047839,             0.00047839
                     45,                0.75673,                0.85222,                 1.2072,                0.83056,                0.67868,                0.75149,                0.46652,                 1.3854,                 1.1877,                 1.9024,             0.00047015,             0.00047015,             0.00047015
                     46,                0.76998,                0.85709,                 1.2269,                0.87645,                0.65909,                    0.8,                0.50154,                 1.3341,                 1.1351,                 1.8828,              0.0004619,              0.0004619,              0.0004619
                     47,                0.75132,                0.81939,                 1.1666,                0.87418,                0.68579,                0.74714,                0.49036,                 1.3282,                 1.2125,                 1.9111,             0.00045365,             0.00045365,             0.00045365
                     48,                0.76843,                 0.8529,                 1.2095,                0.90616,                0.70448,                0.80071,                0.51377,                  1.297,                   1.11,                 1.8178,             0.00044541,             0.00044541,             0.00044541
                     49,                0.74425,                0.79411,                  1.185,                0.87897,                0.73812,                0.81824,                0.50072,                 1.3164,                 1.0825,                 1.8412,             0.00043716,             0.00043716,             0.00043716
                     50,                0.73007,                0.80358,                 1.1719,                0.88231,                 0.7192,                0.80426,                0.49293,                 1.3395,                 1.1133,                 1.9056,             0.00042891,             0.00042891,             0.00042891
                     51,                 0.7223,                0.79989,                 1.1702,                0.79669,                0.72263,                0.75399,                0.46218,                 1.3587,                 1.1924,                  1.929,             0.00042066,             0.00042066,             0.00042066
                     52,                0.70843,                0.79049,                 1.1736,                0.79724,                0.69781,                0.77598,                0.48334,                 1.3282,                 1.0948,                 1.8568,             0.00041242,             0.00041242,             0.00041242
                     53,                0.72698,                0.77846,                 1.1689,                0.84455,                0.72306,                0.79522,                0.50799,                 1.3205,                 1.0904,                 1.8598,             0.00040417,             0.00040417,             0.00040417
                     54,                0.69275,                0.76844,                 1.1609,                0.88486,                0.72903,                0.81102,                0.52318,                 1.2592,                 1.0571,                 1.7696,             0.00039592,             0.00039592,             0.00039592
                     55,                0.68347,                0.76272,                 1.1574,                0.88764,                 0.7063,                0.80657,                0.51791,                 1.2651,                 1.0386,                 1.7983,             0.00038768,             0.00038768,             0.00038768
                     56,                0.71921,                0.74686,                 1.1717,                0.82405,                0.66219,                0.77674,                0.48519,                 1.3354,                 1.1586,                 1.8798,             0.00037943,             0.00037943,             0.00037943
                     57,                0.70505,                0.72261,                 1.1597,                0.85369,                0.65245,                0.78122,                0.51107,                 1.2809,                 1.0925,                 1.7815,             0.00037118,             0.00037118,             0.00037118
                     58,                0.70085,                0.71897,                 1.1761,                0.82612,                0.71816,                0.79089,                0.51187,                  1.292,                 1.0782,                 1.8134,             0.00036294,             0.00036294,             0.00036294
                     59,                0.69902,                0.74243,                 1.1475,                0.87223,                0.66083,                0.80707,                0.49483,                 1.2959,                 1.0766,                 1.7539,             0.00035469,             0.00035469,             0.00035469
                     60,                0.70591,                0.74084,                 1.1496,                 0.8075,                0.69791,                0.77645,                0.46936,                 1.3531,                 1.1006,                 1.8514,             0.00034644,             0.00034644,             0.00034644
                     61,                 0.6846,                0.73181,                 1.1589,                0.85323,                0.72933,                0.81237,                0.50563,                 1.2698,                 1.0288,                 1.7688,              0.0003382,              0.0003382,              0.0003382
                     62,                0.67187,                0.70652,                 1.1478,                0.89697,                0.71276,                0.81122,                0.49722,                 1.3631,                 1.0161,                 1.8571,             0.00032995,             0.00032995,             0.00032995
                     63,                0.67221,                0.70411,                 1.1294,                0.92724,                0.71861,                0.81681,                0.51059,                 1.3329,                  1.089,                 1.8266,              0.0003217,              0.0003217,              0.0003217
                     64,                0.72021,                0.75463,                 1.1701,                0.87921,                0.68742,                0.80933,                0.52052,                  1.342,                 1.0857,                 1.8104,             0.00031346,             0.00031346,             0.00031346
