                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1824,                 3.5367,                 1.5786,                0.00855,                0.92668,                0.21035,                0.13064,                 1.0204,                  3.521,                 1.6123,             0.00014994,             0.00014994,             0.00014994
                      2,                 1.0608,                 3.1084,                 1.5061,                0.01305,                0.92976,                0.29122,                0.16942,                 1.2124,                  3.316,                 1.7057,             0.00030668,             0.00030668,             0.00030668
                      3,                 1.0838,                 2.5945,                 1.5156,                0.64176,                0.32316,                0.41361,                0.24099,                 1.4119,                 2.6132,                 1.9843,             0.00046186,             0.00046186,             0.00046186
                      4,                 1.1443,                 2.2657,                 1.5456,                0.50476,                0.42083,                0.45427,                0.26435,                 1.3403,                 2.4504,                 1.9071,             0.00061547,             0.00061547,             0.00061547
                      5,                 1.1141,                 2.0245,                 1.5322,                0.62489,                0.56721,                0.58475,                0.35334,                 1.3004,                 2.1008,                 1.8423,             0.00076752,             0.00076752,             0.00076752
                      6,                 1.0967,                 1.9136,                 1.4729,                0.47097,                0.53971,                0.50347,                0.28968,                 1.3657,                 2.7409,                 2.0816,             0.00081238,             0.00081238,             0.00081238
                      7,                 1.1193,                 1.8602,                 1.5099,                0.54228,                0.51691,                0.51876,                 0.2676,                  1.633,                 3.5553,                 2.1388,             0.00080826,             0.00080826,             0.00080826
                      8,                 1.1522,                 1.8347,                 1.5292,                0.41783,                0.61116,                0.54022,                0.29304,                 1.4834,                 2.4136,                 1.9338,             0.00080414,             0.00080414,             0.00080414
                      9,                 1.1137,                 1.7466,                 1.4863,                0.76874,                0.60973,                0.73079,                0.44778,                 1.2486,                 1.9546,                 1.8111,             0.00080001,             0.00080001,             0.00080001
                     10,                 1.1179,                 1.7285,                 1.4962,                0.71614,                0.59782,                0.69105,                0.41319,                 1.2701,                 1.7464,                 1.8168,             0.00079589,             0.00079589,             0.00079589
                     11,                 1.0432,                  1.571,                 1.4372,                 0.6367,                0.64886,                0.68091,                0.39823,                 1.3461,                 1.9222,                 1.9556,             0.00079177,             0.00079177,             0.00079177
                     12,                 1.0685,                 1.6319,                 1.4567,                0.64132,                0.62505,                0.70285,                0.41242,                 1.2982,                 1.8132,                 1.9856,             0.00078764,             0.00078764,             0.00078764
                     13,                 1.0211,                 1.5869,                 1.4346,                0.74865,                0.74185,                0.77294,                0.50333,                 1.1914,                 1.4728,                 1.7795,             0.00078352,             0.00078352,             0.00078352
                     14,                 1.0612,                 1.5805,                 1.4626,                0.65132,                 0.6806,                 0.6821,                0.43034,                 1.3211,                 2.4854,                 1.8336,              0.0007794,              0.0007794,              0.0007794
                     15,                 1.0512,                 1.5249,                 1.4252,                0.75545,                0.76704,                0.79709,                0.51644,                 1.1649,                 1.5697,                 1.7561,             0.00077527,             0.00077527,             0.00077527
                     16,                 1.0058,                  1.498,                 1.4074,                0.85315,                0.75104,                0.84862,                0.58408,                 1.0635,                 1.2647,                 1.6008,             0.00077115,             0.00077115,             0.00077115
                     17,                 1.0305,                 1.3852,                 1.4151,                0.79974,                0.69246,                0.79697,                0.52169,                 1.1161,                  1.488,                 1.6367,             0.00076703,             0.00076703,             0.00076703
                     18,                 1.0021,                 1.3844,                 1.3852,                0.69349,                0.71945,                 0.7595,                0.46108,                 1.2231,                 1.6149,                 1.6829,              0.0007629,              0.0007629,              0.0007629
                     19,                 1.0201,                 1.3814,                 1.4031,                0.79303,                0.78054,                0.85317,                0.55369,                 1.0959,                 1.4031,                  1.579,             0.00075878,             0.00075878,             0.00075878
                     20,                0.97149,                 1.3506,                 1.4272,                0.88274,                0.76596,                0.86979,                0.58007,                 1.0848,                 1.3161,                 1.5669,             0.00075466,             0.00075466,             0.00075466
                     21,                0.97946,                 1.2967,                 1.3664,                0.81679,                0.79441,                 0.8528,                 0.5893,                 1.0231,                 1.2466,                 1.5151,             0.00075053,             0.00075053,             0.00075053
                     22,                0.94075,                 1.2513,                 1.3442,                0.79259,                0.77054,                0.86181,                0.57453,                 1.0728,                 1.3619,                 1.5689,             0.00074641,             0.00074641,             0.00074641
                     23,                0.98191,                  1.292,                  1.377,                0.79277,                 0.7583,                0.85565,                0.58225,                 1.1064,                  1.382,                 1.6207,             0.00074229,             0.00074229,             0.00074229
                     24,                0.94267,                 1.2073,                 1.3538,                0.85148,                0.79578,                0.89597,                0.61333,                 1.0393,                  1.186,                 1.5116,             0.00073816,             0.00073816,             0.00073816
