                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88922,                 1.0731,                  1.278,                0.85777,                0.87291,                0.90139,                0.68002,                0.87043,                0.96206,                 1.3335,             0.00055261,             0.00055261,             0.00055261
                     36,                0.86518,                 1.0206,                   1.27,                0.87836,                0.86407,                0.90836,                0.71093,                0.79173,                0.89214,                 1.2681,             0.00054437,             0.00054437,             0.00054437
                     37,                0.83316,                  1.032,                 1.2594,                0.85041,                0.92004,                0.91548,                0.73285,                0.75168,                0.85932,                 1.2193,             0.00053612,             0.00053612,             0.00053612
                     38,                0.83008,                0.99523,                 1.2437,                 0.8518,                0.90252,                0.91328,                0.72465,                0.75098,                0.81712,                 1.2024,             0.00052787,             0.00052787,             0.00052787
                     39,                0.84991,                 1.0302,                 1.2659,                 0.8434,                0.93995,                0.91992,                0.73305,                 0.7529,                 0.8238,                 1.2074,             0.00051963,             0.00051963,             0.00051963
                     40,                0.85146,                 0.9953,                 1.2575,                0.84773,                0.87018,                0.90541,                0.70633,                0.79367,                0.88916,                 1.2417,             0.00051138,             0.00051138,             0.00051138
                     41,                0.81251,                0.98952,                 1.2524,                0.87521,                0.88838,                0.90631,                0.72947,                0.73098,                0.85203,                 1.1929,             0.00050313,             0.00050313,             0.00050313
                     42,                0.81877,                0.92024,                 1.2408,                0.87066,                0.93064,                0.93359,                0.74339,                0.76305,                0.82633,                 1.2176,             0.00049489,             0.00049489,             0.00049489
                     43,                0.79444,                0.92907,                 1.2215,                0.86318,                0.91591,                0.93354,                0.75005,                0.73628,                0.82321,                 1.1977,             0.00048664,             0.00048664,             0.00048664
                     44,                0.77881,                0.91247,                 1.2226,                0.84966,                0.88075,                0.90913,                0.72304,                0.76391,                0.97595,                 1.2456,             0.00047839,             0.00047839,             0.00047839
                     45,                0.80037,                0.95852,                 1.2431,                0.86815,                0.89185,                0.92262,                0.72805,                0.77239,                0.85304,                 1.2322,             0.00047015,             0.00047015,             0.00047015
